# 文書番号	予測ラベル
 20	  1
 32	  0
 35	  0
 44	  1
 50	  0
 52	  1
 82	  1
 97	  0
122	  0
125	  1
133	  0
188	  1
212	  1
219	  0
225	  0
256	  1
297	  0
300	  0
325	  0
349	  0
360	  0
361	  0
365	  0
367	  0
393	  1
405	  1
407	  0
425	  1
434	  1
435	  0
443	  0
447	  0
451	  0
455	  1
462	  1
467	  0
475	  1
479	  1
486	  1
492	  1
494	  0
507	  1
510	  1
528	  1
529	  1
540	  0
563	  0
588	  0
605	  1
608	  0
610	  0
623	  0
636	  0
648	  0
649	  1
656	  1
662	  0
671	  0
675	  0
680	  0
690	  1
704	  0
715	  1
726	  0
731	  0
747	  0
752	  1
759	  1
760	  1
761	  0
763	  1
768	  0
773	  1
786	  1
801	  1
805	  1
806	  0
809	  1
821	  0
832	  1
839	  1
842	  0
851	  0
856	  1
869	  0
876	  1
893	  0
905	  1
919	  1
939	  1
940	  0
943	  1
973	  0
988	  1
1012	  1
1018	  1
1025	  0
1046	  1
1051	  1
1071	  1
1072	  0
1075	  0
1081	  1
1084	  1
1086	  1
1088	  0
1100	  1
1108	  1
1111	  1
1113	  1
1127	  0
1150	  1
1163	  1
1173	  1
1193	  1
1220	  0
1226	  0
1232	  1
1236	  1
1244	  0
1263	  1
1270	  1
1288	  1
1296	  0
1300	  0
1312	  1
1326	  0
1327	  0
1341	  0
1344	  1
1348	  1
1350	  0
1355	  1
1363	  0
1367	  1
1371	  1
1376	  1
1400	  1
1406	  1
1411	  1
1413	  0
1441	  0
1442	  0
1446	  0
1448	  0
1459	  0
1466	  0
1472	  0
1490	  0
1509	  0
1513	  0
1514	  0
1517	  0
1522	  0
1523	  0
1552	  0
1553	  0
1561	  0
1564	  0
1568	  0
1579	  1
1585	  0
1587	  0
1595	  0
1607	  0
1608	  0
1613	  0
1623	  0
1642	  0
1645	  0
1646	  0
1672	  0
1683	  0
1693	  0
1713	  0
1715	  0
1716	  0
1717	  0
1737	  0
1783	  0
1807	  0
1826	  0
1830	  0
1832	  0
1833	  0
1837	  0
1850	  0
1859	  1
1860	  0
1866	  1
1902	  0
1951	  0
1965	  0
1971	  0
1978	  0
1986	  0
2005	  0
2026	  0
2040	  0
2045	  0
2047	  0
2055	  0
2074	  0
2085	  0
2086	  0
2104	  0
2110	  0
2115	  1
2119	  0
2135	  0
2139	  0
2142	  0
2171	  0
2177	  0
2183	  0
2197	  0
2208	  0
2214	  0
2234	  0
2235	  0
2271	  0
2275	  0
2286	  0
2289	  1
2293	  0
2295	  0
2296	  1
2311	  1
2313	  0
2317	  0
2323	  0
2329	  0
2335	  1
2344	  0
2350	  0
2387	  0
2405	  0
2409	  0
2418	  0
2427	  0
2430	  0
2450	  0
2464	  1
2466	  0
2469	  1
2474	  0
2487	  0
2490	  0
2516	  0
2534	  0
2539	  0
2555	  0
2564	  0
2586	  0
2592	  0
2614	  0
2615	  0
2618	  0
2642	  0
2651	  1
2655	  0
2657	  1
2660	  0
2662	  0
2675	  0
2687	  0
2688	  0
2693	  0
2697	  0
2735	  0
2744	  0
2754	  0
2766	  0
2777	  0
2778	  0
2780	  1
2787	  0
2792	  0
2801	  0
2802	  0
2818	  0
2835	  1
2861	  0
2866	  0
2875	  0
2889	  1
2890	  0
2891	  1
2899	  1
2900	  0
2915	  0
2920	  0
2930	  0
2948	  1
2995	  0
3001	  0
3004	  0
3005	  0
3010	  0
3017	  0
3044	  1
3048	  0
3074	  0
3076	  0
3080	  0
3090	  1
3096	  0
3107	  0
3122	  0
3134	  0
3155	  0
3167	  0
3176	  0
3182	  0
3219	  0
3239	  0
3249	  0
3256	  0
3261	  0
3279	  0
3300	  0
3306	  0
3322	  0
3327	  0
3343	  0
3354	  0
3369	  0
3396	  0
3399	  0
3434	  0
3445	  0
3473	  0
3477	  0
3492	  0
3503	  0
3519	  0
3559	  0
3570	  0
3575	  0
3583	  0
3587	  0
3595	  0
3596	  0
3598	  0
3603	  0
3614	  1
3624	  0
3628	  0
3631	  0
3649	  0
3660	  1
3672	  1
3675	  0
3682	  1
3689	  1
3698	  0
3699	  1
3703	  0
3718	  0
3722	  0
3725	  0
3734	  0
3754	  0
3768	  0
3771	  0
3845	  0
3854	  1
3858	  0
3860	  0
3888	  0
3889	  0
3911	  0
3931	  0
3943	  0
3956	  0
3964	  0
3981	  0
3985	  1
3992	  0
3996	  0
4002	  0
4004	  0
4030	  0
4048	  0
4050	  0
4053	  0
4056	  0
4070	  0
4082	  0
4094	  0
4096	  0
4099	  1
4111	  0
4125	  0
4144	  0
4148	  0
4151	  0
4165	  0
4171	  0
4177	  0
4190	  0
4195	  0
4205	  0
4207	  0
4211	  0
4229	  1
4232	  1
4242	  1
4245	  0
4248	  0
4293	  0
4298	  0
4310	  0
4320	  0
4331	  0
4332	  0
4358	  0
4360	  0
4367	  0
4373	  0
4401	  0
4402	  0
4423	  0
4427	  0
4437	  0
4441	  0
4452	  0
4465	  1
4467	  0
4469	  0
4470	  0
4477	  0
4480	  0
4485	  0
4493	  0
4495	  0
4497	  1
4500	  0
4503	  0
4506	  0
4523	  0
4525	  0
4528	  0
4534	  1
4538	  0
4539	  0
4540	  1
4541	  0
4552	  1
4553	  0
4572	  0
4593	  0
4601	  0
4624	  0
4629	  1
4633	  0
4643	  0
4648	  0
4650	  0
4655	  0
4673	  0
4678	  0
4692	  0
4699	  0
4704	  0
4711	  0
4713	  0
4714	  0
4727	  0
4743	  0
4750	  0
4751	  0
4767	  0
4786	  0
4808	  0
4814	  0
4828	  0
4830	  0
4833	  0
4847	  0
4849	  0
4858	  0
4860	  1
4879	  0
4881	  0
4934	  0
4955	  0
4956	  0
4958	  0
4990	  0
5003	  0
5004	  0
5007	  0
5027	  0
5036	  0
5059	  0
5071	  1
5074	  1
5075	  0
5077	  0
5081	  1
5084	  0
5091	  0
5100	  0
5116	  0
5117	  0
5133	  0
5141	  0
5174	  1
5196	  1
5197	  0
5198	  0
5202	  0
5217	  0
5220	  0
5242	  0
5269	  0
5280	  0
5288	  0
5311	  0
5320	  0
5329	  0
5330	  1
5340	  0
5345	  0
5347	  0
5359	  0
5373	  0
5374	  0
5376	  1
5402	  0
5403	  0
5407	  0
5413	  0
5461	  0
5471	  0
5484	  0
5492	  0
5495	  0
5501	  0
5502	  1
5506	  0
5518	  0
5526	  0
5532	  0
5539	  0
5545	  1
5548	  0
5564	  0
5566	  0
5577	  0
5591	  0
5601	  0
5626	  0
5638	  0
5652	  0
5657	  0
5663	  0
5666	  1
5680	  0
5699	  0
5711	  0
5727	  0
5735	  0
5757	  0
5758	  0
5760	  0
5774	  0
5827	  0
5837	  1
5844	  0
5863	  0
5872	  0
5886	  0
5893	  0
5902	  0
5908	  0
5909	  0
5941	  0
5943	  1
5947	  0
5948	  0
5957	  0
5987	  0
5995	  1
6002	  0
6008	  0
6020	  0
6022	  0
6041	  1
6046	  0
6049	  0
6074	  0
6075	  0
6117	  1
6149	  0
6163	  0
6169	  0
6186	  0
6187	  0
6189	  0
6193	  0
6200	  0
6216	  0
6235	  0
6236	  0
6239	  0
6259	  0
6263	  0
6264	  0
6267	  1
6273	  0
6277	  0
6306	  1
6313	  0
6319	  0
6324	  0
6325	  1
6335	  0
6345	  0
6377	  0
6402	  0
6403	  0
6405	  0
6406	  1
6408	  0
6409	  0
6411	  0
6412	  0
6423	  0
6426	  0
6449	  0
6451	  0
6463	  0
6475	  0
6478	  0
6480	  0
6492	  0
6505	  0
6508	  0
6513	  0
6522	  0
6529	  1
6537	  0
6542	  0
6543	  0
6572	  1
6577	  0
6584	  1
6606	  0
6613	  0
6625	  0
6648	  0
6651	  0
6662	  1
6664	  0
6699	  0
6705	  0
6727	  0
6732	  0
6738	  0
6740	  0
6747	  0
6754	  1
6757	  0
6812	  0
6814	  1
6836	  1
6841	  0
6844	  1
6853	  1
6863	  0
6871	  1
6886	  0
6887	  0
6890	  0
6891	  0
6904	  0
6909	  0
6910	  0
6914	  1
6915	  0
6919	  0
6920	  0
6923	  0
6941	  0
6942	  1
6959	  0
6984	  0
6991	  0
7011	  0
7012	  0
7024	  0
7031	  0
7035	  0
7038	  0
7046	  0
7047	  0
7052	  1
7060	  0
7065	  1
7078	  0
7092	  0
7097	  0
7099	  0
7111	  0
7113	  0
7125	  1
7128	  0
7135	  0
7156	  1
7164	  0
7168	  0
7175	  0
7176	  0
7178	  0
7179	  0
7184	  0
7188	  0
7189	  0
7194	  0
7213	  1
7217	  0
7253	  0
7266	  0
7271	  1
7292	  0
7301	  0
7315	  0
7321	  0
7326	  0
7327	  0
7334	  0
7342	  0
7357	  1
7402	  0
7410	  0
7411	  0
7412	  0
7419	  0
7424	  0
7427	  0
7435	  1
7455	  0
7456	  0
7460	  0
7462	  0
7467	  0
7470	  1
7486	  1
7524	  1
7566	  1
7586	  0
7604	  0
7609	  0
7612	  1
7614	  1
7616	  1
7620	  0
7633	  0
7642	  0
7648	  0
7656	  0
7659	  0
7664	  0
7682	  0
7701	  0
7705	  0
7723	  0
7726	  0
7748	  1
7750	  0
7752	  0
7769	  0
7777	  0
7803	  0
7806	  0
7815	  0
7830	  0
7843	  0
7853	  1
7863	  0
7881	  1
7890	  0
7898	  0
7900	  0
7901	  0
7919	  1
7923	  0
7934	  0
7942	  1
7944	  0
7965	  0
7969	  1
7973	  0
7983	  0
7994	  0
8003	  1
8011	  1
8024	  0
8027	  0
8028	  0
8036	  0
8044	  0
8050	  0
8054	  0
8075	  1
8078	  0
8094	  0
8100	  0
8109	  0
8120	  0
8127	  0
8139	  0
8152	  1
8155	  0
8163	  0
8165	  0
8168	  0
8177	  0
8181	  0
8183	  0
8187	  0
8193	  0
8198	  0
8200	  0
8208	  1
8209	  0
8216	  0
8246	  0
8250	  0
8254	  1
8270	  0
8274	  0
8294	  0
8307	  0
8308	  0
8310	  0
8319	  0
8327	  0
8330	  0
8333	  0
8336	  0
8366	  0
8372	  1
8376	  0
8381	  0
8397	  0
8400	  0
8421	  1
8426	  0
8465	  0
8467	  0
8480	  0
8495	  1
8498	  0
8520	  0
8534	  0
8535	  0
8537	  0
8548	  0
8561	  0
8572	  0
8580	  1
8582	  0
8583	  0
8588	  0
8593	  1
8626	  0
8635	  0
8660	  1
8663	  1
8664	  0
8671	  1
8702	  0
8718	  0
8720	  0
8721	  0
8723	  0
8753	  0
8761	  0
8787	  0
8792	  0
8795	  0
8803	  0
8813	  0
8834	  0
8844	  1
8849	  0
8855	  0
8868	  0
8898	  1
8899	  1
8908	  0
8917	  1
8922	  1
8923	  0
8933	  0
8937	  1
8953	  0
8963	  0
8970	  0
8979	  1
8988	  0
9000	  0
9014	  0
9039	  0
9057	  0
9062	  0
9080	  0
9085	  0
9088	  0
9125	  0
9128	  0
9138	  0
9155	  0
9157	  0
9175	  0
9188	  0
9195	  0
9198	  0
9208	  0
9210	  0
9230	  0
9253	  0
9260	  0
9274	  1
9276	  0
9278	  0
9284	  0
9289	  0
9290	  0
9298	  1
9305	  0
9308	  0
9313	  0
9316	  0
9320	  0
9321	  0
9352	  0
9361	  0
9367	  0
9388	  0
9405	  0
9432	  0
9437	  1
9438	  1
9444	  0
9447	  0
9451	  0
9457	  0
9473	  0
9485	  0
9499	  0
9504	  0
9508	  0
9527	  0
9540	  0
9547	  0
9558	  1
9565	  0
9581	  0
9584	  0
9587	  1
9608	  0
9610	  0
9628	  0
9629	  0
9638	  0
9641	  0
9671	  0
9688	  0
9733	  1
9743	  0
9746	  0
9767	  0
9775	  1
9790	  0
9792	  0
9803	  0
